Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930167597.8,1015642458,1125139665,1203910615,1271508380,1326530726,1410932961,1519882682,1603608939,1683195531,1787459218,1910011173,2091321788,2159234637,2096083799,2128377095,2308632961,2273022905,2317821229,2322534078,2328516760,2327948045,2416910615,2565458101,2595608939,2323831851,2511137069,2610944715,
Africa Eastern and Southern,AFE,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,58841204645,65839814212,74948397501,89603654639,1.14448E+11,1.26083E+11,1.2134E+11,1.3005E+11,1.22174E+11,97461445950,1.12586E+11,1.45174E+11,1.57567E+11,1.68574E+11,2.08121E+11,2.27138E+11,2.00064E+11,1.96491E+11,2.10183E+11,2.35583E+11,2.30882E+11,2.46046E+11,2.33555E+11,2.28808E+11,2.43706E+11,2.17166E+11,2.11668E+11,2.84672E+11,3.53611E+11,4.02724E+11,4.41143E+11,4.98414E+11,5.24491E+11,5.65533E+11,6.70082E+11,7.48695E+11,7.87842E+11,8.01733E+11,8.13446E+11,7.7346E+11,7.42307E+11,8.47872E+11,8.28286E+11,8.17393E+11,7.55012E+11,8.63685E+11,9.57617E+11,
Afghanistan,AFG,Final consumption expenditure (current US$),NE.CON.TOTL.CD,466666655.6,477777737.8,466666655.6,702222244.4,762222182.2,995555555.6,1422222222,1711111100,1371111151,1386666667,1691108967,1826664358,1544444496,1637777771,1984444462,2173333413,2248888958,2680000058,2942222153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22832090666,15656157355,,
Africa Western and Central,AFW,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9268942899,11543957956,13171619029,17739321090,23251235871,30360580216,40383014108,43668272512,44279724754,58374659005,68191069677,78311390594,84900940809,62602554472,36883791476,51670296729,53101669293,41500668015,30469916075,34939523983,59426672308,
Albania,ALB,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,1350489522,1365198170,1510787488,1545825025,1571774975,1659124975,1660736838,1287582611,1218994125,1641562844,2178256242,2522368079,3314540762,2447593797,2684992194,3134797248,3216796289,3484217876,3972822134,5130526832,6352358416,7083953146,7841922710,9849229265,12040547089,11072098500,10646773482,11508045729,10941453753,11633374284,12201540482,10453745503,10939629297,11861807537,13700540735,14069133426,14024839522,15879406649,16259232759,
Andorra,AND,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,27472359731,30018802959,34099898212,37977302864,44047342246,51805833806,67092540759,91897443566,1.1233E+11,1.42697E+11,1.72198E+11,2.11993E+11,2.53681E+11,2.91675E+11,3.27359E+11,3.38677E+11,3.49755E+11,3.54536E+11,3.70827E+11,3.95415E+11,3.77245E+11,4.19758E+11,5.00971E+11,4.10883E+11,3.9639E+11,4.14203E+11,4.30474E+11,4.45034E+11,4.74707E+11,5.07747E+11,5.19786E+11,5.30348E+11,5.48341E+11,5.54765E+11,5.62127E+11,5.97901E+11,6.84315E+11,7.74476E+11,8.95551E+11,1.07019E+12,1.28949E+12,1.3361E+12,1.42934E+12,1.4412E+12,1.58245E+12,1.68386E+12,1.84003E+12,1.8279E+12,1.83352E+12,1.84011E+12,1.85257E+12,1.93585E+12,1.90964E+12,2.00671E+12,2.16737E+12,
United Arab Emirates,ARE,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71329996950,78539648958,84958535248,1.0275E+11,1.15984E+11,1.3981E+11,1.72367E+11,2.07203E+11,1.58522E+11,1.51477E+11,1.69552E+11,1.56847E+11,1.75246E+11,1.9029E+11,1.71336E+11,1.73959E+11,1.94803E+11,2.11619E+11,2.15044E+11,1.90885E+11,,,
Argentina,ARG,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,82990000000,87230000000,68035000000,85714893617,87384579439,99054857143,59776066519,1.13471E+11,1.58921E+11,1.94078E+11,1.95824E+11,2.13955E+11,2.11354E+11,2.2051E+11,2.38353E+11,2.43787E+11,2.37778E+11,2.36219E+11,2.23202E+11,72446391953,95225639005,1.24228E+11,1.49393E+11,1.76045E+11,2.17145E+11,2.77344E+11,2.62659E+11,3.36351E+11,4.23646E+11,4.45242E+11,4.57043E+11,4.33335E+11,4.99614E+11,4.64851E+11,5.43457E+11,4.47542E+11,3.69715E+11,3.18536E+11,3.84119E+11,5.10696E+11,
