Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121229050,1195530726,1264245810,1326256983,1377094972,1393586592,1346423464,1266650838,1282296089,1458098883,1606588827,1595335196,1742107263,1863013966,1606810056,1477511732,1839933520,1911810056,2088122905,2184551397,2158564246,2142859777,2243516760,2367134078,2486899441,1415761245,2143360226,2946524352,
Africa Eastern and Southern,AFE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,20028530247,23865415743,28118933965,36586529839,50778792443,43081952809,37375735964,38149393751,35995260621,33521192250,38304280897,47894542771,50349389255,49848499705,53405182645,52478871537,53296700778,55986206069,59311566982,68464486543,71204678690,72474516011,68447369932,67298161108,75263896726,72241344986,75341935669,92391121223,1.15182E+11,1.43962E+11,1.73087E+11,2.14568E+11,2.55295E+11,1.97287E+11,2.55578E+11,3.01235E+11,2.87837E+11,2.83883E+11,2.81582E+11,2.17329E+11,1.955E+11,2.28413E+11,2.54463E+11,2.39467E+11,2.04018E+11,2.80877E+11,3.23027E+11,
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,22222233.33,24444455.56,26666680,68888922.22,71111144.44,113333340,120000000,113333340,122222228.9,142222222.2,171111104.4,199999988.9,235555544.4,224444437.8,302222222.2,300000006.7,337777777.8,344444451.1,357777771.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079570876,2046123147,,
Africa Western and Central,AFW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8725779845,9676099632,13749775747,24225651602,33245117514,44319670865,64168422874,41310610563,51572807247,67822781239,71632968046,67158241031,60770402281,26926846117,14838933358,21373167736,32444713318,28919814308,18583150437,31753057853,46368203142,
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,335069930.1,319090897.4,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.68,189399541.5,225407402.4,302465325.4,371808925.1,230303544.6,291949986.8,540977914.6,700083398.1,836717875.5,910729685,1169850311,1596261929,1853023824,2242665612,3016116355,3259293768,3040047645,3337086709,3769456465,3565050512,3694413338,3732057452,3104897778,3437126528,4110301306,4785179281,4821429218,3435540416,5613909458,7073859741,
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07146E+11,3.20737E+11,3.76808E+11,5.03072E+11,6.7509E+11,8.20687E+11,9.52688E+11,1.26198E+12,8.94859E+11,1.11362E+12,1.35928E+12,1.52481E+12,1.50845E+12,1.42322E+12,1.0451E+12,9.56616E+11,1.09858E+12,1.28955E+12,1.24832E+12,9.36615E+11,,,
United Arab Emirates,ARE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50787202178,54362695711,69538461538,93968596324,1.22071E+11,1.52434E+11,1.8669E+11,2.48808E+11,2.01959E+11,2.38328E+11,3.15868E+11,3.75514E+11,3.92245E+11,4.01367E+11,3.61253E+11,3.60626E+11,3.84044E+11,3.92863E+11,4.04046E+11,3.35238E+11,,,
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,10020000000,8575714286,10376666667,8669148936,8584112150,12098285714,10006614069,14643479947,14561091033,15095261860,16357317317,19385100000,24978532000,28381400000,30928400000,31137200000,27862300000,31223690400,31112418400,27736610298,33084505278,39266996606,46198180131,53550250227,65162321195,79762958392,65133480388,80208867996,97809980731,88655850854,80690471898,75818867911,63671789069,69842604407,72860557903,75766598613,80259482469,64053810078,87805815481,1.02872E+11,
