Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411173184.4,392737430.2,463128491.6,527932960.9,531843575.4,477620111.7,455134078.2,522438547.5,590374301.7,641530726.3,782592178.8,852547486,850061452.5,912697765.4,757000000,693955307.3,723212290.5,615162569.8,649933519.6,645006145.3,638178212.3,613883240.2,635530726.3,733921787.7,761966480.4,580750806.2,646683844.6,728526134.2,
Africa Eastern and Southern,AFE,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47440974676,53290109481,51790078494,50822652582,50824910942,47368391326,52531544068,46195450017,45471237309,63989843947,85916724646,98955913297,1.17192E+11,1.41637E+11,1.67594E+11,1.68763E+11,1.86131E+11,2.17134E+11,2.16604E+11,2.23039E+11,2.30567E+11,2.12929E+11,1.81755E+11,2.13024E+11,2.08962E+11,2.14263E+11,1.86845E+11,2.16383E+11,2.36452E+11,
Afghanistan,AFG,Gross capital formation (current US$),NE.GDI.TOTL.CD,86666711.11,91111155.56,104444506.7,106666724.4,111111155.6,113333340,117777771.1,86666666.67,88888888.89,91111111.11,95555562.22,99999993.33,104444451.1,126666660,188888882.2,231111111.1,348888882.2,366666660,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294931842,1854644926,,
Africa Western and Central,AFW,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,4661062180,5424166531,7276096317,10187915840,12205182666,16793426886,27273497535,30106141365,23629203840,29539717730,34148610240,34597374118,37391494951,30952029966,14358920734,17781659805,14197377624,12557628116,12848257818,17582201886,27413614188,
Albania,ALB,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,611538473.2,643706270.4,671875012.5,612875012.5,614499962.5,740750012.5,615888125,83600694.44,36891479.03,162105372.7,355435477,509144791.4,577976420.6,376257327.9,502639653.3,633902317.2,1071819204,1372290895,1533305462,1902121187,2456928761,2968774767,3175678040,3679616491,4608745039,4162217993,3614892808,4049449495,3490030385,3584049924,3396286215,2939977128,2991848400,3261771860,3623932112,3544359949,3482126461,4448984737,,
Andorra,AND,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,67031287361,80288020868,98809959541,1.04993E+11,1.30909E+11,1.36243E+11,1.42118E+11,1.26398E+11,1.24996E+11,1.07583E+11,99999981204,94354488398,98191603884,82764197261,1.95904E+11,1.00846E+11,1.05618E+11,1.10019E+11,1.06414E+11,1.16116E+11,1.20011E+11,1.15561E+11,1.32381E+11,1.44727E+11,1.50618E+11,1.55817E+11,1.5264E+11,1.75991E+11,2.08676E+11,2.56106E+11,3.20584E+11,4.21531E+11,5.54473E+11,5.11035E+11,5.58939E+11,6.18184E+11,6.57358E+11,6.9184E+11,7.34018E+11,7.11645E+11,7.02534E+11,7.13016E+11,7.51645E+11,7.69591E+11,6.51485E+11,6.87975E+11,8.23584E+11,
United Arab Emirates,ARE,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23247802287,24758811082,27517552893,29533120000,36424851681,42802745378,64992757985,79178107856,80206027366,78593555317,81219427148,81978431096,75126823336,89369188618,91822890157,92902151858,97541306140,99269102573,93724842260,79632485146,,,
Argentina,ARG,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,22870000000,22557142857,15551666667,18546808511,21320560748,23659428571,11888860207,19785104980,27769271211,38211583095,46609970270,51399500500,47736933000,53406319800,60990966300,62691747400,50645509000,49830828800,41986461000,10606870818,18049680786,28899558550,37537987445,43442829424,57791082382,70766944271,53453089199,75005496431,97540924275,90097938094,95532250251,90857938990,1.01528E+11,98478204195,1.17221E+11,87192973456,63626076656,55605095047,88102226420,1.11238E+11,
Armenia,ARM,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064058855,823376623.4,20763233.48,118596041.6,367483703.3,305535851.7,336887740.3,381439054.2,429617443,383285986.6,419059322.4,485221417.5,604023894.7,795744250.7,1041601837,1752674433,2695864106,4083144029,5591113033,3558198105,3594357227,3237544549,2620949520,2463681305,2470857428,2187762814,1899940088,2123558497,2790546241,2370918199,2485842491,3187135399,4221605573,
American Samoa,ASM,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Gross capital formation (current US$),NE.GDI.TOTL.CD,5874400940,6522881044,5662720906,6639361062,7304641169,8711361394,8906241425,10021761603,10791201727,12337921974,13629282181,14512962322,15834112150,18120435618,27195283714,26083572306,27763562247,29755677908,30591183676,37570146541,40626183844,50727969349,57890323293,44851673620,51535393566,50583305400,51966284275,51833642139,66049528233,88792679471,90132995976,78950115413,72741017828,73669898820,78349360083,95700920701,99487026186,1.08283E+11,1.02493E+11,1.01878E+11,1.09246E+11,88806924110,96601834309,1.21317E+11,1.66349E+11,1.91015E+11,2.05851E+11,2.35144E+11,3.02083E+11,2.5415E+11,3.07671E+11,3.70084E+11,4.28868E+11,4.39542E+11,3.92366E+11,3.54949E+11,3.06666E+11,3.19778E+11,3.5077E+11,3.24415E+11,2.96213E+11,3.54795E+11,3.99089E+11,
Austria,AUT,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,4771495105,5541740280,7058711828,9517022981,11444997055,10879523584,12248654598,15309730247,16461066995,21696574370,23617236758,19127014861,17519558764,16618430366,16163509387,16964551742,23505006760,29871903570,34140480330,35233812793,44427926903,46746366529,51115807663,48063635396,53086308878,64509635594,62486378997,55780133048,56978190307,56742769391,51151223870,49694720840,50688642611,64017705669,72533785057,75309760548,79396824795,95678567535,1.05712E+11,91501841483,88684956533,1.04211E+11,98162711032,1.02056E+11,1.04147E+11,90930239902,96015598611,1.03641E+11,1.17053E+11,1.12703E+11,1.11491E+11,1.32573E+11,1.2974E+11,
Azerbaijan,AZE,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2357575758,166000000,-3081180.812,342305576.4,182706300.1,574821373.7,921240611.8,1356585014,1483587490,1213786341,1090038231,1180156703,2156220555,3868976710,5033804961,5501464427,6265075075,7113890300,9132080524,8392812488,9555195614,13367211778,15550280343,19028068641,20698491866,14815472728,9724751554,9962844718,9483493400,9783117647,10103705882,9363411765,9954941176,
